country_txt,nkill,nwound,regions,nkill_2013,nwound_2013,nkill_2016,nwound_2016,population_2016,kills_per_pop
Afghanistan,21438.0,22905.0,Asia,3696.0,4322.0,6119.0,6485.0,34656032.0,127.95175166043244
Albania,1.0,2.0,Europe & Russia,0.0,0.0,0.0,0.0,2876101.0,0.10430788070377223
Algeria,168.0,99.0,Africa & Middle East,101.0,48.0,9.0,2.0,40606052.0,0.6575374527915198
Angola,0.0,0.0,Africa & Middle East,,,0.0,0.0,28813463.0,0.0
Argentina,0.0,4.0,South America,0.0,2.0,0.0,2.0,43847430.0,0.009122541503572728
Armenia,6.0,3.0,Asia,0.0,1.0,6.0,1.0,2924816.0,0.3077116645970208
Australia,6.0,8.0,Australasia & Oceania,0.0,0.0,0.0,1.0,24127159.0,0.05802589521625816
Austria,0.0,2.0,Europe & Russia,0.0,2.0,0.0,0.0,8747358.0,0.022864046492666698
Azerbaijan,1.0,2.0,Asia,,,1.0,1.0,9762274.0,0.03073054495294846
Bahamas,0.0,0.0,North & Central America,0.0,0.0,,,,
Bahrain,18.0,102.0,Africa & Middle East,3.0,39.0,1.0,2.0,1425171.0,8.420042226511766
Bangladesh,216.0,1041.0,Asia,16.0,117.0,76.0,90.0,162951560.0,0.7713948856948655
Belgium,40.0,279.0,Europe & Russia,,,36.0,276.0,11348159.0,2.811028643500677
Belize,0.0,0.0,North & Central America,0.0,0.0,,,366954.0,0.0
Bhutan,,,Asia,,,,,797765.0,
Bosnia-Herzegovina,4.0,10.0,Europe & Russia,0.0,0.0,,,,
Brazil,8.0,0.0,South America,2.0,0.0,1.0,0.0,207652865.0,0.0038525834931292667
Bulgaria,0.0,1.0,Europe & Russia,0.0,0.0,0.0,1.0,7127822.0,0.014029531040477723
Burkina Faso,79.0,172.0,Africa & Middle East,1.0,0.0,62.0,40.0,18646433.0,1.3461019595544093
Burundi,303.0,444.0,Africa & Middle East,5.0,12.0,74.0,213.0,10524117.0,7.097982662108374
Cambodia,0.0,0.0,Asia,0.0,0.0,,,15762370.0,0.0
Cameroon,1968.0,805.0,Africa & Middle East,7.0,0.0,245.0,324.0,23439189.0,11.830614105291783
Canada,8.0,42.0,North & Central America,0.0,0.0,1.0,34.0,36286425.0,0.13779257670051542
Central African Republic,1231.0,633.0,Africa & Middle East,120.0,71.0,189.0,173.0,4594621.0,40.56917861124998
Chad,334.0,495.0,Africa & Middle East,,,22.0,68.0,14452543.0,5.736014762246339
Chile,3.0,31.0,South America,2.0,1.0,0.0,4.0,17909754.0,0.189840686812337
China,518.0,650.0,Asia,60.0,71.0,13.0,18.0,1378665000.0,0.08471963820072316
Colombia,422.0,775.0,South America,137.0,263.0,38.0,60.0,48653419.0,2.4602587538606486
Croatia,0.0,1.0,Europe & Russia,0.0,1.0,,,4170600.0,0.023977365367093464
Cyprus,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,1170125.0,0.0
Czech Republic,2.0,2.0,Europe & Russia,1.0,0.0,0.0,1.0,10561633.0,0.03787293120296833
Democratic Republic of the Congo,1415.0,662.0,Africa & Middle East,150.0,72.0,532.0,176.0,,
Denmark,3.0,8.0,Europe & Russia,0.0,0.0,1.0,3.0,5731118.0,0.19193462776372774
Djibouti,5.0,15.0,Africa & Middle East,,,,,942333.0,2.122391978207279
Dominican Republic,0.0,35.0,North & Central America,0.0,0.0,,,10648791.0,0.32867580930079293
Ecuador,2.0,7.0,South America,1.0,0.0,1.0,7.0,16385068.0,0.054928060109362985
Egypt,1978.0,2796.0,Africa & Middle East,243.0,623.0,606.0,626.0,,
Estonia,0.0,0.0,Europe & Russia,,,,,1316481.0,0.0
Ethiopia,353.0,132.0,Africa & Middle East,17.0,0.0,279.0,83.0,102403196.0,0.47361803043725315
Finland,0.0,1.0,Europe & Russia,,,0.0,0.0,5495096.0,0.018198044219791612
France,258.0,933.0,Europe & Russia,0.0,5.0,95.0,470.0,66896109.0,1.7803726073216009
Georgia,3.0,8.0,Asia,2.0,0.0,1.0,7.0,3719300.0,0.2957545774742559
Germany,28.0,164.0,Europe & Russia,,,27.0,117.0,82667685.0,0.23225520346916695
Ghana,0.0,3.0,Africa & Middle East,,,0.0,0.0,28206728.0,0.010635760376035107
Greece,69.0,15.0,Europe & Russia,2.0,7.0,66.0,2.0,10746740.0,0.7816323834018503
Guatemala,4.0,3.0,North & Central America,4.0,3.0,,,16582469.0,0.04221325545671154
Guinea,2.0,4.0,Africa & Middle East,0.0,0.0,1.0,0.0,12395924.0,0.04840300731111291
Guyana,0.0,0.0,South America,,,0.0,0.0,773303.0,0.0
Haiti,7.0,,North & Central America,,,7.0,,10847334.0,
Honduras,7.0,1.0,North & Central America,5.0,0.0,2.0,0.0,9112867.0,0.08778795959603054
Hungary,0.0,2.0,Europe & Russia,,,0.0,2.0,9817958.0,0.020370834749955134
Iceland,0.0,0.0,Europe & Russia,,,,,334252.0,0.0
India,1806.0,2977.0,Asia,467.0,771.0,462.0,784.0,1324171354.0,0.3612070284976124
Indonesia,87.0,98.0,Asia,23.0,16.0,22.0,35.0,261115456.0,0.0708498848877027
Iran,102.0,41.0,Africa & Middle East,39.0,17.0,12.0,8.0,,
Iraq,41139.0,60106.0,Africa & Middle East,7038.0,15704.0,12187.0,14285.0,37202572.0,272.1451624366186
Ireland,2.0,6.0,Europe & Russia,0.0,2.0,2.0,3.0,4773095.0,0.1676061339654878
Israel,87.0,453.0,Africa & Middle East,2.0,8.0,16.0,175.0,8547100.0,6.31793239812334
Italy,1.0,9.0,Europe & Russia,0.0,4.0,1.0,1.0,60600590.0,0.016501489506950344
Ivory Coast,44.0,46.0,Africa & Middle East,4.0,3.0,22.0,33.0,,
Jamaica,0.0,1.0,North & Central America,,,,,2881355.0,0.034705893581318516
Japan,19.0,26.0,Asia,,,19.0,26.0,126994511.0,0.03543460236639676
Jordan,43.0,83.0,Africa & Middle East,0.0,0.0,35.0,65.0,9455802.0,1.332515211295668
Kazakhstan,10.0,12.0,Asia,0.0,1.0,10.0,11.0,17797032.0,0.12361611756387245
Kenya,869.0,1128.0,Africa & Middle East,206.0,446.0,72.0,69.0,48461567.0,4.120791224105485
Kosovo,3.0,7.0,Europe & Russia,1.0,4.0,0.0,0.0,1816200.0,0.5506001541680432
Kuwait,29.0,228.0,Africa & Middle East,,,1.0,1.0,4052584.0,6.3416328939757936
Kyrgyzstan,3.0,6.0,Asia,,,1.0,5.0,,
Laos,3.0,15.0,Asia,,,3.0,15.0,,
Lebanon,460.0,2001.0,Africa & Middle East,190.0,1048.0,25.0,74.0,6006668.0,40.97113407965947
Lesotho,1.0,2.0,Africa & Middle East,,,,,2203821.0,0.13612720815347526
Liberia,0.0,0.0,Africa & Middle East,,,,,4613823.0,0.0
Libya,2248.0,3091.0,Africa & Middle East,232.0,618.0,631.0,737.0,6293253.0,84.83688801324212
Macedonia,0.0,7.0,Europe & Russia,,,,,,
Madagascar,4.0,122.0,Africa & Middle East,0.0,0.0,3.0,91.0,24894551.0,0.5061348565796587
Malaysia,10.0,15.0,Asia,2.0,1.0,6.0,9.0,31187265.0,0.08016092465947239
Maldives,0.0,8.0,Asia,0.0,2.0,0.0,3.0,417492.0,1.9162043823594226
Mali,704.0,829.0,Africa & Middle East,137.0,138.0,176.0,220.0,17994837.0,8.519110231451387
Malta,0.0,0.0,Europe & Russia,,,,,436947.0,0.0
Mexico,61.0,122.0,North & Central America,47.0,110.0,4.0,0.0,127540423.0,0.14348392117219183
Moldova,0.0,0.0,Europe & Russia,,,0.0,0.0,3552000.0,0.0
Montenegro,0.0,0.0,Europe & Russia,0.0,0.0,,,622781.0,0.0
Morocco,0.0,,Africa & Middle East,,,,,35276786.0,
Mozambique,133.0,226.0,Africa & Middle East,37.0,80.0,62.0,83.0,28829476.0,1.24525329562008
Myanmar,159.0,279.0,Asia,11.0,29.0,73.0,58.0,52885223.0,0.8282086661523579
Nepal,8.0,119.0,Asia,3.0,86.0,5.0,15.0,28982771.0,0.4381913654839974
Netherlands,1.0,3.0,Europe & Russia,,,1.0,3.0,17018408.0,0.023503961122567987
New Zealand,0.0,0.0,Australasia & Oceania,,,0.0,0.0,4692700.0,0.0
Nicaragua,5.0,28.0,North & Central America,,,,,6149928.0,0.5365916479022192
Niger,887.0,297.0,Africa & Middle East,26.0,33.0,184.0,139.0,20672987.0,5.7272807262927214
Nigeria,17310.0,6820.0,Africa & Middle East,2014.0,528.0,2164.0,1155.0,185989640.0,12.973840908558135
Pakistan,8007.0,12899.0,Asia,2874.0,5770.0,1112.0,1894.0,193203476.0,10.820716289804226
Panama,0.0,0.0,North & Central America,,,0.0,0.0,4034119.0,0.0
Paraguay,41.0,19.0,South America,12.0,15.0,10.0,2.0,6725308.0,0.8921524486313489
Peru,27.0,30.0,South America,6.0,4.0,11.0,7.0,31773839.0,0.17939286467713267
Philippines,1761.0,2861.0,Asia,432.0,666.0,411.0,720.0,103320222.0,4.473470837102925
Poland,0.0,1.0,Europe & Russia,,,0.0,1.0,37948016.0,0.0026351838789147766
Qatar,0.0,1.0,Africa & Middle East,,,,,2569804.0,0.03891347355673818
Republic of the Congo,33.0,5.0,Africa & Middle East,2.0,5.0,31.0,0.0,,
Russia,300.0,461.0,Europe & Russia,148.0,288.0,64.0,61.0,,
Rwanda,7.0,78.0,Africa & Middle East,6.0,62.0,0.0,0.0,11917508.0,0.7132363578023191
Saudi Arabia,395.0,502.0,Africa & Middle East,1.0,2.0,161.0,196.0,32275687.0,2.7791817413522444
Senegal,14.0,8.0,Africa & Middle East,7.0,1.0,,,15411614.0,0.1427494874968968
Sierra Leone,1.0,0.0,Africa & Middle East,,,1.0,0.0,7396190.0,0.013520474730908751
Slovak Republic,0.0,1.0,Europe & Russia,,,0.0,1.0,5428704.0,0.018420602781068926
Somalia,5176.0,3451.0,Africa & Middle East,646.0,597.0,1558.0,1275.0,14317996.0,60.25284544010209
South Africa,37.0,56.0,Africa & Middle East,2.0,5.0,21.0,11.0,55908865.0,0.16634213554505176
South Korea,0.0,1.0,Asia,,,0.0,0.0,,
South Sudan,1985.0,1043.0,Africa & Middle East,226.0,113.0,633.0,191.0,12230730.0,24.757312114648922
Spain,0.0,5.0,Europe & Russia,0.0,1.0,0.0,4.0,46443959.0,0.010765662763589985
Sri Lanka,6.0,110.0,Asia,0.0,29.0,0.0,2.0,21203000.0,0.5470923925859549
Sudan,1158.0,1012.0,Africa & Middle East,220.0,150.0,182.0,213.0,39578828.0,5.482729301635713
Sweden,4.0,6.0,Europe & Russia,,,0.0,1.0,9903122.0,0.10097825715971187
Switzerland,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,8372098.0,0.0
Syria,11543.0,10131.0,Africa & Middle East,1562.0,2237.0,2755.0,2936.0,,
Taiwan,0.0,0.0,Asia,0.0,0.0,0.0,0.0,,
Tajikistan,14.0,12.0,Asia,,,1.0,0.0,8734951.0,0.2976547893628711
Tanzania,25.0,142.0,Africa & Middle East,8.0,83.0,3.0,2.0,55572201.0,0.30050996180626355
Thailand,683.0,2178.0,Asia,255.0,680.0,120.0,385.0,68863514.0,4.154594841035849
Trinidad and Tobago,0.0,0.0,North & Central America,0.0,0.0,,,1364962.0,0.0
Tunisia,242.0,239.0,Africa & Middle East,25.0,28.0,71.0,26.0,11403248.0,4.218096458131928
Turkey,1616.0,4156.0,Africa & Middle East,83.0,192.0,1004.0,2772.0,79512426.0,7.259242725155939
Turkmenistan,3.0,2.0,Asia,,,,,5662544.0,0.0882995346261327
Uganda,177.0,36.0,Africa & Middle East,,,75.0,19.0,41487965.0,0.5134018985987864
Ukraine,2210.0,2669.0,Europe & Russia,1.0,3.0,48.0,39.0,45004645.0,10.841103179460697
United Arab Emirates,1.0,0.0,Africa & Middle East,0.0,0.0,,,9269612.0,0.010787938049618475
United Kingdom,14.0,111.0,Europe & Russia,4.0,64.0,9.0,20.0,65637239.0,0.19044067347196003
United States,154.0,632.0,North & Central America,23.0,436.0,68.0,139.0,323127513.0,0.24324762466141345
Uruguay,1.0,1.0,South America,,,1.0,1.0,3444006.0,0.058071908120949846
Uzbekistan,0.0,0.0,Asia,,,,,31848200.0,0.0
Venezuela,11.0,78.0,South America,,,9.0,77.0,,
West Bank and Gaza Strip,286.0,484.0,Africa & Middle East,12.0,27.0,90.0,124.0,,
Yemen,5861.0,6608.0,Africa & Middle East,624.0,898.0,1517.0,1340.0,,
Zimbabwe,1.0,1.0,Africa & Middle East,1.0,1.0,,,16150362.0,0.012383623351600415
