country_txt,nkill,nwound,regions,nkill_2013,nwound_2013,nkill_2016,nwound_2016,population_2016,kills_per_pop,kills_per_pop_2013,kills_per_pop_2016
Afghanistan,21438.0,22905.0,Asia,3696.0,4322.0,6119.0,6485.0,34656032.0,127.95175166043244,23.13594354945194,36.368849151570494
Albania,1.0,2.0,Europe & Russia,0.0,0.0,0.0,0.0,2876101.0,0.10430788070377224,0.0,0.0
Algeria,168.0,99.0,Africa & Middle East,101.0,48.0,9.0,2.0,40606052.0,0.6575374527915198,0.3669403762769156,0.027089557980174976
Angola,0.0,0.0,Africa & Middle East,0.0,0.0,0.0,0.0,28813463.0,0.0,0.0,0.0
Argentina,0.0,4.0,South America,0.0,2.0,0.0,2.0,43847430.0,0.009122541503572728,0.004561270751786364,0.004561270751786364
Armenia,6.0,3.0,Asia,0.0,1.0,6.0,1.0,2924816.0,0.3077116645970208,0.03419018495522454,0.2393312946865717
Australia,6.0,8.0,Australasia & Oceania,0.0,0.0,0.0,1.0,24127159.0,0.058025895216258165,0.0,0.004144706801161297
Austria,0.0,2.0,Europe & Russia,0.0,2.0,0.0,0.0,8747358.0,0.022864046492666698,0.022864046492666698,0.0
Azerbaijan,1.0,2.0,Asia,0.0,0.0,1.0,1.0,9762274.0,0.03073054495294846,0.0,0.02048702996863231
Bahamas,0.0,0.0,North & Central America,0.0,0.0,0.0,0.0,391232.0,0.0,0.0,0.0
Bahrain,18.0,102.0,Africa & Middle East,3.0,39.0,1.0,2.0,1425171.0,8.420042226511766,2.9470147792791184,0.21050105566279412
Bangladesh,216.0,1041.0,Asia,16.0,117.0,76.0,90.0,162951560.0,0.7713948856948655,0.08161934749197859,0.10187076453886053
Belgium,40.0,279.0,Europe & Russia,0.0,0.0,36.0,276.0,11348159.0,2.8110286435006766,0.0,2.7493446293799733
Belize,0.0,0.0,North & Central America,0.0,0.0,0.0,0.0,366954.0,0.0,0.0,0.0
Bhutan,0.0,0.0,Asia,0.0,0.0,0.0,0.0,797765.0,0.0,0.0,0.0
Bosnia-Herzegovina,4.0,10.0,Europe & Russia,0.0,0.0,0.0,0.0,3516816.0,0.3980873608400326,0.0,0.0
Brazil,8.0,0.0,South America,2.0,0.0,1.0,0.0,207652865.0,0.0038525834931292663,0.0009631458732823168,0.0004815729366411584
Bulgaria,0.0,1.0,Europe & Russia,0.0,0.0,0.0,1.0,7127822.0,0.014029531040477723,0.0,0.014029531040477723
Burkina Faso,79.0,172.0,Africa & Middle East,1.0,0.0,62.0,40.0,18646433.0,1.3461019595544093,0.005362956014160993,0.5470215134444213
Burundi,303.0,444.0,Africa & Middle East,5.0,12.0,74.0,213.0,10524117.0,7.0979826621083735,0.1615337419756926,2.7270696439425754
Cambodia,0.0,0.0,Asia,0.0,0.0,0.0,0.0,15762370.0,0.0,0.0,0.0
Cameroon,1968.0,805.0,Africa & Middle East,7.0,0.0,245.0,324.0,23439189.0,11.830614105291787,0.029864514510293,2.427558393765245
Canada,8.0,42.0,North & Central America,0.0,0.0,1.0,34.0,36286425.0,0.13779257670051542,0.0,0.0964548036903608
Central African Republic,1231.0,633.0,Africa & Middle East,120.0,71.0,189.0,173.0,4594621.0,40.569178611249974,4.1570349328051215,7.878778249609708
Chad,334.0,495.0,Africa & Middle East,0.0,0.0,22.0,68.0,14452543.0,5.736014762246339,0.0,0.6227277787722202
Chile,3.0,31.0,South America,2.0,1.0,0.0,4.0,17909754.0,0.189840686812337,0.016750648836382675,0.02233419844851024
China,518.0,650.0,Asia,60.0,71.0,13.0,18.0,1378665000.0,0.08471963820072316,0.009501945722855079,0.0022485520412863173
Colombia,422.0,775.0,South America,137.0,263.0,38.0,60.0,48653419.0,2.4602587538606486,0.8221416053001331,0.20142469329853266
Croatia,0.0,1.0,Europe & Russia,0.0,1.0,0.0,0.0,4170600.0,0.023977365367093464,0.023977365367093464,0.0
Cyprus,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,1170125.0,0.0,0.0,0.0
Czech Republic,2.0,2.0,Europe & Russia,1.0,0.0,0.0,1.0,10561633.0,0.03787293120296833,0.009468232800742082,0.009468232800742082
Democratic Republic of the Congo,1415.0,662.0,Africa & Middle East,150.0,72.0,532.0,176.0,78736153.0,2.637924156645042,0.2819543393236396,0.8992057308159315
Denmark,3.0,8.0,Europe & Russia,0.0,0.0,1.0,3.0,5731118.0,0.19193462776372772,0.0,0.06979441009590101
Djibouti,5.0,15.0,Africa & Middle East,0.0,0.0,0.0,0.0,942333.0,2.122391978207279,0.0,0.0
Dominican Republic,0.0,35.0,North & Central America,0.0,0.0,0.0,0.0,10648791.0,0.3286758093007929,0.0,0.0
Ecuador,2.0,7.0,South America,1.0,0.0,1.0,7.0,16385068.0,0.05492806010936298,0.006103117789929221,0.04882494231943377
Egypt,1978.0,2796.0,Africa & Middle East,243.0,623.0,606.0,626.0,95688681.0,4.989095836737472,0.9050182225837141,1.2875086030290248
Estonia,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,1316481.0,0.0,0.0,0.0
Ethiopia,353.0,132.0,Africa & Middle East,17.0,0.0,279.0,83.0,102403196.0,0.4736180304372532,0.016601044365841863,0.35350459179027965
Finland,0.0,1.0,Europe & Russia,0.0,0.0,0.0,0.0,5495096.0,0.01819804421979161,0.0,0.0
France,258.0,933.0,Europe & Russia,0.0,5.0,95.0,470.0,66896109.0,1.7803726073216009,0.00747427626919228,0.8445932184187275
Georgia,3.0,8.0,Asia,2.0,0.0,1.0,7.0,3719300.0,0.2957545774742559,0.053773559540773806,0.2150942381630952
Germany,28.0,164.0,Europe & Russia,0.0,0.0,27.0,117.0,82667685.0,0.2322552034691669,0.0,0.1741914026018752
Ghana,0.0,3.0,Africa & Middle East,0.0,0.0,0.0,0.0,28206728.0,0.010635760376035109,0.0,0.0
Greece,69.0,15.0,Europe & Russia,2.0,7.0,66.0,2.0,10746740.0,0.7816323834018503,0.08374632679305538,0.6327500246586407
Guatemala,4.0,3.0,North & Central America,4.0,3.0,0.0,0.0,16582469.0,0.042213255456711535,0.042213255456711535,0.0
Guinea,2.0,4.0,Africa & Middle East,0.0,0.0,1.0,0.0,12395924.0,0.04840300731111291,0.0,0.008067167885185484
Guyana,0.0,0.0,South America,0.0,0.0,0.0,0.0,773303.0,0.0,0.0,0.0
Haiti,7.0,0.0,North & Central America,0.0,0.0,7.0,0.0,10847334.0,0.0,0.0,0.0
Honduras,7.0,1.0,North & Central America,5.0,0.0,2.0,0.0,9112867.0,0.08778795959603054,0.05486747474751909,0.02194698989900764
Hungary,0.0,2.0,Europe & Russia,0.0,0.0,0.0,2.0,9817958.0,0.02037083474995513,0.0,0.02037083474995513
Iceland,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,334252.0,0.0,0.0,0.0
India,1806.0,2977.0,Asia,467.0,771.0,462.0,784.0,1324171354.0,0.3612070284976124,0.0934924317959532,0.09409658321305144
Indonesia,87.0,98.0,Asia,23.0,16.0,22.0,35.0,261115456.0,0.0708498848877027,0.01493592167902922,0.021829423992427318
Iran,102.0,41.0,Africa & Middle East,39.0,17.0,12.0,8.0,80277428.0,0.17813226402818985,0.06975808940964077,0.024913603360585998
Iraq,41139.0,60106.0,Africa & Middle East,7038.0,15704.0,12187.0,14285.0,37202572.0,272.1451624366186,61.130182074508184,71.15637058642075
Ireland,2.0,6.0,Europe & Russia,0.0,2.0,2.0,3.0,4773095.0,0.1676061339654878,0.04190153349137195,0.10475383372842988
Israel,87.0,453.0,Africa & Middle East,2.0,8.0,16.0,175.0,8547100.0,6.3179323981233395,0.1169987481133952,2.234676088965848
Italy,1.0,9.0,Europe & Russia,0.0,4.0,1.0,1.0,60600590.0,0.016501489506950344,0.0066005958027801365,0.003300297901390069
Ivory Coast,44.0,46.0,Africa & Middle East,4.0,3.0,22.0,33.0,23695919.0,0.3798122368666098,0.029540951756291876,0.23210747808515045
Jamaica,0.0,1.0,North & Central America,0.0,0.0,0.0,0.0,2881355.0,0.034705893581318516,0.0,0.0
Japan,19.0,26.0,Asia,0.0,0.0,19.0,26.0,126994511.0,0.03543460236639676,0.0,0.03543460236639676
Jordan,43.0,83.0,Africa & Middle East,0.0,0.0,35.0,65.0,9455802.0,1.332515211295668,0.0,1.0575517549965618
Kazakhstan,10.0,12.0,Asia,0.0,1.0,10.0,11.0,17797032.0,0.12361611756387245,0.005618914434721475,0.11799720312915098
Kenya,869.0,1128.0,Africa & Middle East,206.0,446.0,72.0,69.0,48461567.0,4.120791224105485,1.3453960331080503,0.2909522096138575
Kosovo,3.0,7.0,Europe & Russia,1.0,4.0,0.0,0.0,1816200.0,0.5506001541680432,0.2753000770840216,0.0
Kuwait,29.0,228.0,Africa & Middle East,0.0,0.0,1.0,1.0,4052584.0,6.3416328939757936,0.0,0.049351228746893336
Kyrgyzstan,3.0,6.0,Asia,0.0,0.0,1.0,5.0,6082700.0,0.14796060959771154,0.0,0.09864040639847436
Laos,3.0,15.0,Asia,0.0,0.0,3.0,15.0,6758353.0,0.2663370794629993,0.0,0.2663370794629993
Lebanon,460.0,2001.0,Africa & Middle East,190.0,1048.0,25.0,74.0,6006668.0,40.971134079659464,20.610428277374414,1.6481683355897148
Lesotho,1.0,2.0,Africa & Middle East,0.0,0.0,0.0,0.0,2203821.0,0.13612720815347526,0.0,0.0
Liberia,0.0,0.0,Africa & Middle East,0.0,0.0,0.0,0.0,4613823.0,0.0,0.0,0.0
Libya,2248.0,3091.0,Africa & Middle East,232.0,618.0,631.0,737.0,6293253.0,84.83688801324212,13.506528340748416,21.737565611933928
Macedonia,0.0,7.0,Europe & Russia,0.0,0.0,0.0,0.0,2081206.0,0.3363434470206217,0.0,0.0
Madagascar,4.0,122.0,Africa & Middle East,0.0,0.0,3.0,91.0,24894551.0,0.5061348565796587,0.0,0.37759267078165015
Malaysia,10.0,15.0,Asia,2.0,1.0,6.0,9.0,31187265.0,0.08016092465947239,0.009619310959136686,0.048096554795683436
Maldives,0.0,8.0,Asia,0.0,2.0,0.0,3.0,417492.0,1.9162043823594224,0.4790510955898557,0.7185766433847833
Mali,704.0,829.0,Africa & Middle East,137.0,138.0,176.0,220.0,17994837.0,8.519110231451387,1.5282161211018472,2.20063121438666
Malta,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,436947.0,0.0,0.0,0.0
Mexico,61.0,122.0,North & Central America,47.0,110.0,4.0,0.0,127540423.0,0.14348392117219186,0.12309822745373833,0.003136260572069766
Moldova,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,3552000.0,0.0,0.0,0.0
Montenegro,0.0,0.0,Europe & Russia,0.0,0.0,0.0,0.0,622781.0,0.0,0.0,0.0
Morocco,0.0,0.0,Africa & Middle East,0.0,0.0,0.0,0.0,35276786.0,0.0,0.0,0.0
Mozambique,133.0,226.0,Africa & Middle East,37.0,80.0,62.0,83.0,28829476.0,1.2452532956200801,0.4058346395196361,0.502957459233737
Myanmar,159.0,279.0,Asia,11.0,29.0,73.0,58.0,52885223.0,0.8282086661523579,0.07563549462578611,0.2477062448994495
Nepal,8.0,119.0,Asia,3.0,86.0,5.0,15.0,28982771.0,0.4381913654839974,0.3070789884100454,0.0690065142494484
Netherlands,1.0,3.0,Europe & Russia,0.0,0.0,1.0,3.0,17018408.0,0.023503961122567987,0.0,0.023503961122567987
New Zealand,0.0,0.0,Australasia & Oceania,0.0,0.0,0.0,0.0,4692700.0,0.0,0.0,0.0
Nicaragua,5.0,28.0,North & Central America,0.0,0.0,0.0,0.0,6149928.0,0.5365916479022192,0.0,0.0
Niger,887.0,297.0,Africa & Middle East,26.0,33.0,184.0,139.0,20672987.0,5.7272807262927214,0.28539659024600555,1.5624254008383016
Nigeria,17310.0,6820.0,Africa & Middle East,2014.0,528.0,2164.0,1155.0,185989640.0,12.973840908558135,1.3667427927706082,1.7845079973271631
Pakistan,8007.0,12899.0,Asia,2874.0,5770.0,1112.0,1894.0,193203476.0,10.820716289804228,4.474039587155255,1.5558726282957764
Panama,0.0,0.0,North & Central America,0.0,0.0,0.0,0.0,4034119.0,0.0,0.0,0.0
Paraguay,41.0,19.0,South America,12.0,15.0,10.0,2.0,6725308.0,0.8921524486313489,0.4014686018841071,0.1784304897262698
Peru,27.0,30.0,South America,6.0,4.0,11.0,7.0,31773839.0,0.17939286467713267,0.031472432399496965,0.05665037831909452
Philippines,1761.0,2861.0,Asia,432.0,666.0,411.0,720.0,103320222.0,4.473470837102925,1.0627154866159694,1.0946550230989631
