Year,Certain conditions originating in the perinatal period,Complications of pregnancy childbirth and the puerperium,Congenital anomalies,Diseases of the blood and bloodforming organs,Diseases of the circulatory system,Diseases of the digestive system,Diseases of the genitourinary system,Diseases of the musculoskeletal system and connective tissue,Diseases of the nervous system and sense organs,Diseases of the respiratory system,Diseases of the skin and subcutaneous organs,Endocrine nutritional and metabolic diseases and immunity disorders,Infectious and parasitic diseases,Injury and poisoning,Mental illness,Neoplasms,Residual codes unclassified all E codes,Symptoms signs and illdefined conditions
2000,7.97,37.79,9.82,17.43,199.53,86.31,87.05,122.54,98,133.09,34.13,77.42,42.01,107.9,60.51,99.77,23.69,134.33
2001,7.58,36.38,9.57,17.92,198.5,85.82,85.12,126.82,98.31,134.31,34.07,81.87,41.54,108.18,61.13,100.49,23.93,144.72
2002,8.12,36.1,9.64,18.62,202.36,89.13,86.97,133.4,100.71,135.48,34.38,87.44,43.36,108.3,64.23,101.9,25.2,157.21
2003,8.43,36.22,9.58,18.23,205.89,89.3,85.21,134.77,99.43,137.54,33.67,90.63,45.02,106,65.08,100.82,24.96,161.76
2004,8.33,38.15,9.77,18.62,211.26,90.82,85,140.41,99.02,130.55,34.22,96.34,42.3,107.07,67.56,103.57,25.85,172.81
2005,8.24,36.72,9.37,20.07,219.98,93.94,88.67,144.6,102.7,141.04,35.12,103.79,47.36,103.8,67.25,106.22,27.7,178.74
2006,7.83,37.12,9.3,20.58,224.74,96.76,96.4,148.03,105.24,136.99,36.06,109.75,48.97,104.63,69.3,109.51,29.92,184.8
2007,8.37,37.65,9.32,20.83,225.99,95.98,99.7,151.55,108.49,136.47,36.84,113.77,51.1,105.66,70.73,111.77,31.09,189.45
2008,8.64,37.37,9.37,20.79,226.58,94.16,100.71,154.9,109.96,139.28,37.3,116.41,52.74,105.59,73.61,112.1,31.7,192.34
2009,8.28,36.83,9.38,21.4,228.4,95.42,103.84,157.43,112.26,143.27,37.78,120.3,54.72,104.53,76.23,114.24,33,199.09
2010,7.62,36.55,8.99,21.95,227.21,95.85,105.32,160.41,112.74,137.17,38.09,124.67,55.3,104.98,78.25,115.51,34.01,202.14
2011,8.14,38.3,8.93,22.26,226.49,94.69,107.32,164.98,114.48,138.9,38.72,128.47,58.21,107.19,81.62,118.07,35.31,212.52
2012,8.21,39.78,8.89,21.94,230.01,95.09,110.26,170.07,116.95,140.31,39.71,132.11,61.98,109.32,86.76,119.8,36.85,220.09
2013,7.86,39.92,8.7,21.62,228.24,94.92,111.02,170.82,118.93,139.21,40.04,133.73,64.58,108.48,88.22,120.49,38.25,223.13
2014,7.71,40.89,8.81,21.87,228.91,95.44,113.88,175.86,122.69,139.88,41.06,137.49,66.73,111.15,93.46,123.15,40.8,230.7
