State,Percent,Abbr,Pop
Alabama,1.1,AL,4863300
Alaska,0.3,AK,741894
Arizona,1.7,AZ,6931071
Arkansas,0.7,AR,2988248
California,14.2,CA,39250017
Colorado,1.8,CO,5540545
Connecticut,1.4,CT,3576452
Delaware,0.4,DE,952065
District of Columbia,0.7,DC,681170
Florida,5,FL,20612439
Georgia,2.9,GA,10310371
Hawaii,0.5,HI,1428557
Idaho,0.4,ID,1683140
Illinois,4.2,IL,12801539
Indiana,1.9,IN,6633053
Iowa,1,IA,3134693
Kansas,0.8,KS,2907289
Kentucky,1.1,KY,4436974
Louisiana,1.3,LA,4681666
Maine,0.3,ME,1331479
Maryland,2.1,MD,6016447
Massachusetts,2.7,MA,6811779
Michigan,2.7,MI,9928300
Minnesota,1.8,MN,5519952
Mississippi,0.6,MS,2988726
Missouri,1.6,MO,6093000
Montana,0.2,MT,1042520
Nebraska,0.6,NE,1907116
Nevada,0.8,NV,2940058
New Hampshire,0.4,NH,1334795
New Jersey,3.1,NJ,8944469
New Mexico,0.5,NM,2081015
New York,8,NY,19745289
North Carolina,2.8,NC,10146788
North Dakota,0.3,ND,757952
Ohio,3.4,OH,11614373
Oklahoma,1,OK,3923561
Oregon,1.2,OR,4093465
Pennsylvania,3.9,PA,12784227
Rhode Island,0.3,RI,1056426
South Carolina,1.1,SC,4961119
South Dakota,0.3,SD,865454
Tennessee,1.8,TN,6651194
Texas,8.8,TX,27862596
Utah,0.9,UT,3051217
Vermont,0.2,VT,624594
Virginia,2.7,VA,8411808
Washington,2.6,WA,7288000
West Virginia,0.4,WV,1831102
Wisconsin,1.7,WI,5778708
Wyoming,0.2,WY,585501
