date,aapl,ford,fb,jpm,
1/6/17,117.91,12.76,123.41,86.12,
1/13/17,119.04,12.63,128.34,86.7,
1/20/17,120,12.36,127.04,83.67,
1/27/17,121.95,12.49,132.18,86.93,
2/3/17,129.08,12.56,130.98,87.18,
2/10/17,132.12,12.51,134.19,87,
2/17/17,135.72,12.58,133.53,90.23,
2/24/17,136.66,12.47,135.44,90.33,
3/3/17,139.78,12.65,137.17,92.8,
3/10/17,139.14,12.53,138.79,91.28,
3/17/17,139.99,12.48,139.84,90.68,
3/24/17,140.64,11.62,140.34,87.29,
3/31/17,143.66,11.64,142.05,87.84,
4/7/17,143.34,11.23,140.78,86.18,
4/14/17,141.05,11.11,139.39,84.4,
4/21/17,142.27,11.34,143.68,84.52,
4/28/17,143.65,11.47,150.25,87,
5/5/17,148.96,11.14,150.24,87,
5/12/17,156.1,10.92,150.33,86.92,
5/19/17,153.06,10.87,148.06,84.78,
5/26/17,153.61,10.93,152.13,85.36,
6/2/17,155.45,11.35,153.61,82.64,
6/9/17,148.98,11.13,149.6,86.96,
6/16/17,142.27,11.22,150.64,86.18,
6/23/17,146.28,11.04,155.07,86.86,
6/30/17,144.02,11.19,150.98,91.4,
7/7/17,144.18,11.26,151.44,93.85,
7/14/17,149.04,11.68,159.97,92.25,
7/21/17,150.27,11.53,164.43,90.89,
7/28/17,149.5,11.17,172.45,91.28,
8/4/17,156.39,10.95,169.62,93.66,
8/11/17,157.48,10.77,168.08,91.42,
8/18/17,157.5,10.56,167.41,90.74,
8/25/17,159.86,10.82,166.32,91.89,
9/1/17,164.05,11.35,172.02,91.7,
9/8/17,158.63,11.36,170.95,88.42,
9/15/17,159.88,11.62,171.64,91.62,
9/22/17,151.89,11.84,170.54,94.83,
9/29/17,154.12,11.97,170.87,95.51,
10/6/17,155.3,12.31,172.23,96.92,
10/13/17,156.99,12.05,173.74,95.86,
10/20/17,156.25,12.1,174.98,99.51,
10/27/17,163.05,12.06,177.88,101.77,
11/3/17,172.5,12.36,178.92,101.41,
11/10/17,174.67,12.01,178.46,97.51,
11/17/17,170.15,12.01,179,98.14,
